,Age,Gender,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
20,15,Female,3.0,5.1,83,4,1.1,1,9,4,1.5,58,6,1.7,1.7,2.0,Social Media,8,6.7,6.2
21,16,Female,2.7,6.3,92,3,1.4,2,9,3,1.7,112,17,2.1,2.6,0.9,Gaming,10,5.7,9.9
22,14,Other,2.7,5.1,60,9,0.0,4,6,2,1.7,117,16,2.5,1.3,0.2,Education,5,4.8,9.5
23,19,Male,6.9,3.6,79,5,1.0,5,5,10,0.8,32,7,2.0,1.3,1.2,Education,7,6.6,10.0
24,19,Other,4.6,7.2,85,7,1.3,7,6,4,1.1,71,5,1.8,0.8,1.1,Social Media,8,6.2,6.0
25,16,Male,5.5,5.9,78,5,1.2,1,7,3,0.7,44,14,0.9,1.3,1.3,Gaming,3,3.9,8.4
26,19,Male,6.2,4.5,65,3,1.3,5,7,1,1.1,115,10,2.1,1.6,1.0,Social Media,7,6.6,10.0
27,19,Male,4.9,9.3,50,4,0.0,7,4,1,0.3,117,5,3.5,4.0,0.9,Education,3,7.0,10.0
28,17,Female,6.6,8.1,77,7,1.0,6,1,3,1.5,147,14,2.0,1.7,1.6,Education,8,9.2,10.0
29,19,Other,8.6,5.2,63,0,1.1,6,4,8,1.3,72,15,0.2,1.8,0.7,Browsing,9,6.6,10.0
30,15,Other,4.1,4.5,59,8,0.8,10,1,8,0.6,32,10,2.2,1.0,0.5,Education,9,9.3,7.7
31,19,Male,4.2,6.9,86,8,1.7,5,1,9,1.0,100,15,2.6,2.2,0.9,Browsing,4,6.9,10.0
32,19,Male,8.0,5.5,87,7,2.2,1,8,5,1.0,26,16,3.3,1.3,2.6,Gaming,6,5.2,10.0
33,16,Male,3.3,5.3,50,4,0.0,7,1,6,0.3,141,14,0.7,3.2,0.0,Gaming,5,5.1,10.0
34,16,Male,4.7,6.6,59,6,1.5,10,4,7,0.6,123,18,1.0,1.1,1.2,Social Media,2,0.3,9.6
35,15,Male,3.9,6.3,64,9,1.3,6,7,8,0.9,135,11,1.2,1.5,1.5,Social Media,7,2.2,8.4
36,13,Female,4.4,6.8,62,8,1.4,2,1,10,1.7,66,7,0.9,0.0,0.0,Browsing,1,6.9,4.6
37,13,Male,8.3,6.2,65,9,1.3,5,6,8,1.3,144,5,2.3,0.0,1.5,Other,1,2.9,10.0
38,16,Other,7.4,6.9,67,0,1.7,6,6,8,1.6,117,16,1.6,0.7,0.7,Social Media,8,4.6,10.0
39,16,Female,1.7,6.8,68,9,0.8,5,9,1,0.7,107,18,2.4,0.6,0.0,Education,6,6.2,7.0
40,13,Other,6.2,8.3,77,1,0.4,7,2,4,1.1,141,5,3.8,1.4,0.9,Browsing,8,6.2,10.0
41,19,Other,5.2,7.2,96,5,0.1,4,10,3,0.7,119,16,3.0,1.7,0.6,Gaming,3,6.1,10.0
42,15,Other,3.3,5.3,89,7,0.0,9,6,9,0.3,77,18,1.1,1.0,0.0,Gaming,9,10.4,7.9
43,13,Male,6.9,6.2,89,4,1.1,3,2,7,0.3,140,13,3.0,1.9,0.7,Gaming,9,4.1,10.0
44,13,Male,6.6,5.0,88,8,2.1,10,7,10,2.0,56,20,2.1,1.4,0.4,Education,9,6.2,10.0
45,18,Female,1.0,6.2,60,5,1.4,6,3,10,0.4,25,16,3.1,0.0,2.0,Gaming,4,5.8,4.7
46,17,Male,6.7,4.7,67,3,1.3,10,1,3,0.8,129,6,2.8,0.8,1.7,Gaming,7,9.9,10.0
47,19,Other,7.1,7.1,67,2,0.4,1,1,4,2.6,119,16,2.8,2.4,0.0,Gaming,4,5.3,10.0
48,18,Male,4.7,6.5,69,6,1.5,10,3,1,1.3,119,5,3.4,1.0,0.0,Gaming,10,4.7,9.2
49,14,Male,8.1,7.2,91,6,1.4,8,7,8,0.3,120,13,1.4,2.2,1.9,Education,9,6.0,10.0
50,14,Male,4.3,5.9,75,4,2.5,5,1,8,2.2,105,17,1.9,1.4,1.4,Other,1,3.1,10.0
51,17,Male,3.9,8.4,97,3,0.5,1,7,8,1.2,66,13,4.3,1.6,1.0,Education,6,4.9,9.5
52,13,Other,9.0,7.3,79,6,1.1,1,1,7,0.8,127,17,3.1,1.5,0.0,Education,1,6.9,10.0
53,15,Other,4.5,7.8,93,5,1.0,7,7,2,1.3,83,17,2.6,1.2,2.4,Education,8,6.0,9.5
54,14,Other,4.4,4.1,56,9,1.7,7,7,1,0.8,129,16,4.9,1.4,0.6,Other,10,6.1,10.0
55,19,Other,5.9,8.5,87,2,0.0,4,10,9,1.5,48,6,3.0,1.5,0.7,Social Media,2,6.5,8.3
56,17,Other,3.3,6.1,78,2,3.6,2,9,9,1.2,141,17,1.9,1.0,0.2,Education,8,5.1,9.4
57,15,Female,2.9,5.5,71,1,1.1,9,2,1,0.9,117,10,2.0,1.6,1.3,Gaming,7,4.6,8.1
58,17,Male,3.4,4.7,79,10,0.9,8,4,5,0.6,123,6,3.0,1.7,0.7,Other,5,7.6,9.4
59,17,Female,6.3,7.4,77,8,1.6,4,4,10,1.4,110,8,3.7,1.5,1.9,Gaming,1,3.1,10.0
60,19,Male,3.7,7.9,89,9,0.7,8,7,7,0.3,92,7,0.9,2.1,0.9,Education,7,2.0,6.0
61,18,Male,4.7,6.9,77,7,0.9,6,10,1,1.0,105,12,0.7,1.3,0.0,Education,8,8.3,7.8
62,17,Other,6.7,7.9,54,8,1.3,7,10,7,0.2,84,9,2.2,1.3,1.4,Education,9,7.9,9.7
63,18,Female,5.3,7.7,63,1,2.2,10,6,4,0.7,135,6,1.7,2.4,1.6,Other,9,5.7,9.4
64,17,Male,8.7,5.2,87,5,0.0,4,8,2,1.2,146,10,4.0,0.6,0.4,Gaming,6,5.9,10.0
65,17,Other,3.9,8.0,80,3,1.5,4,5,10,0.3,41,11,2.6,0.0,1.1,Social Media,2,5.7,5.5
66,16,Female,7.4,6.6,100,3,1.1,2,3,5,1.3,90,19,2.1,0.8,0.6,Other,9,9.3,10.0
67,18,Female,6.8,10.0,98,7,1.7,7,8,3,1.7,72,16,2.4,1.0,2.0,Social Media,10,7.6,9.8
68,18,Female,7.0,8.0,70,5,1.9,8,5,7,0.7,133,9,1.6,0.6,0.4,Gaming,5,1.8,9.7
69,16,Male,5.8,7.2,88,5,1.0,9,9,2,0.7,30,15,2.6,0.7,0.5,Browsing,10,9.7,9.1
70,17,Other,4.1,5.5,67,2,0.2,1,7,4,0.5,120,16,4.3,2.1,2.0,Browsing,8,11.0,10.0
71,19,Other,4.9,4.4,86,5,1.8,7,6,7,0.9,90,15,2.5,1.2,0.5,Other,2,4.2,10.0
72,18,Male,4.4,6.6,95,3,1.1,8,1,3,0.6,91,15,2.2,1.6,0.8,Education,1,3.9,9.7
73,19,Male,6.3,3.0,58,8,1.1,5,2,8,0.6,48,6,3.9,1.1,0.1,Other,6,8.5,10.0
74,15,Male,5.8,6.9,84,8,2.3,3,9,3,0.5,106,7,3.1,1.2,1.5,Social Media,6,5.5,10.0
75,13,Female,6.5,7.2,58,10,0.3,9,6,5,1.1,74,6,2.6,2.0,1.1,Gaming,9,8.7,10.0
76,17,Female,5.8,7.0,76,8,1.7,5,5,5,1.7,116,19,3.0,2.2,2.2,Education,9,3.3,10.0
77,19,Other,5.1,7.0,64,4,1.5,10,6,7,1.7,140,5,0.5,1.7,0.9,Gaming,2,7.7,7.6
78,13,Other,5.2,6.0,87,0,0.8,1,5,8,1.6,79,11,4.2,0.0,1.2,Gaming,6,3.7,10.0
79,13,Male,4.8,8.6,78,8,0.0,3,3,10,1.0,51,9,3.0,2.4,1.6,Social Media,7,7.1,8.7
80,19,Male,4.3,4.3,91,6,0.0,9,8,5,0.9,98,7,2.2,0.6,0.3,Social Media,8,5.2,8.3
81,19,Female,7.6,6.4,88,4,0.0,6,4,8,1.8,77,15,4.6,0.0,0.0,Gaming,7,7.1,10.0
82,17,Female,5.5,6.9,65,3,0.4,6,9,9,0.4,82,6,1.6,1.1,0.2,Browsing,4,6.2,7.6
83,15,Other,4.8,6.3,76,8,1.6,2,6,7,1.1,136,11,4.8,1.3,1.2,Social Media,8,5.3,10.0
84,19,Other,7.4,6.3,75,6,1.5,9,7,2,0.3,85,9,2.9,2.9,0.0,Social Media,1,7.6,10.0
85,16,Male,3.8,5.1,85,1,0.0,8,7,8,0.6,104,10,1.8,0.5,1.3,Social Media,9,9.3,7.6
86,13,Other,7.3,5.6,84,1,0.2,4,1,8,1.2,22,11,2.2,2.0,0.9,Other,1,4.1,10.0
87,19,Female,0.7,4.6,64,6,1.3,10,1,9,0.4,146,10,2.2,0.2,1.3,Other,3,5.3,5.7
88,14,Male,3.0,6.6,82,0,0.8,1,3,3,0.6,84,6,3.7,2.3,1.0,Other,9,6.7,8.6
89,19,Other,4.0,7.4,83,3,0.3,10,4,4,0.6,55,18,4.1,0.8,0.0,Gaming,3,7.4,9.9
90,16,Other,8.1,6.8,59,1,0.0,7,3,1,0.6,129,7,0.7,2.5,1.5,Other,1,5.1,10.0
91,17,Male,5.2,6.6,56,10,0.9,6,8,4,0.5,98,16,2.4,1.4,1.0,Other,5,8.1,10.0
92,18,Other,1.7,6.2,52,8,1.3,2,2,7,1.3,76,17,1.1,1.9,0.7,Social Media,7,6.5,6.5
93,15,Male,6.8,7.4,100,9,1.1,6,7,7,1.9,123,11,4.2,1.6,0.7,Social Media,5,6.8,10.0
94,18,Female,6.4,10.0,89,0,1.2,9,9,8,0.5,128,9,4.1,3.2,1.4,Education,2,4.6,10.0
95,17,Male,7.2,7.4,63,7,0.1,2,3,8,0.7,112,11,3.8,0.5,0.5,Social Media,4,2.3,10.0
96,18,Female,3.3,5.7,93,5,1.7,9,6,7,0.1,72,17,3.6,1.2,0.3,Other,10,6.6,10.0
97,16,Male,4.7,8.5,98,3,0.2,4,5,8,0.1,20,16,2.8,1.3,0.3,Social Media,8,6.2,8.2
98,18,Female,2.8,7.0,93,5,0.8,4,5,2,1.5,42,6,2.8,1.0,0.6,Social Media,10,8.2,5.1
99,16,Female,6.2,8.7,53,1,0.1,7,6,10,0.5,24,12,1.6,2.5,1.0,Other,7,6.7,8.8
100,17,Male,6.7,8.5,91,4,1.4,8,7,2,0.2,49,9,2.1,3.5,1.5,Browsing,8,5.7,10.0
101,14,Other,2.2,5.1,69,7,1.0,6,3,8,1.3,24,16,2.6,2.2,1.1,Other,9,7.6,8.1
102,13,Female,4.1,6.3,57,3,2.0,5,3,7,0.4,78,13,1.7,2.2,0.3,Gaming,3,5.8,9.0
103,13,Male,5.3,5.9,85,9,0.6,6,1,2,0.9,98,14,2.3,2.6,0.9,Education,8,8.9,10.0
104,18,Female,4.7,3.4,71,1,1.8,7,4,7,1.5,87,9,0.1,0.0,0.0,Education,7,6.7,6.6
105,19,Other,4.5,7.4,67,9,1.1,10,1,2,0.8,68,11,2.6,1.0,0.9,Gaming,4,7.4,8.0
106,13,Male,5.6,5.8,85,4,0.6,1,2,8,1.4,44,7,2.1,0.0,1.5,Gaming,7,6.6,7.1
107,15,Other,7.3,5.0,67,2,0.5,8,5,5,1.4,77,18,1.2,1.1,0.8,Gaming,4,8.0,10.0
108,18,Female,4.6,9.4,55,2,0.8,2,4,5,1.1,113,7,1.6,1.7,1.6,Education,4,8.6,6.9
109,15,Other,2.0,5.9,74,5,0.9,2,9,6,1.1,47,12,2.0,1.3,1.4,Other,1,4.4,5.7
110,14,Male,1.6,6.1,70,7,0.0,9,5,1,1.6,42,5,4.8,0.8,1.5,Social Media,3,1.8,6.0
111,18,Other,2.0,7.5,76,0,1.1,1,7,2,0.9,115,7,1.4,1.9,1.3,Gaming,10,5.6,5.2
112,16,Male,3.0,4.7,51,10,3.0,1,8,1,0.3,42,18,1.7,3.3,0.0,Education,3,6.7,10.0
113,15,Female,6.9,3.9,73,9,2.2,1,6,4,0.8,58,16,3.3,2.8,1.8,Education,3,4.9,10.0
114,16,Other,5.5,5.4,63,8,0.0,5,10,3,2.0,72,14,1.4,0.0,0.8,Other,1,8.3,8.4
115,15,Female,6.6,9.5,53,5,1.0,8,4,1,0.8,121,13,4.5,1.7,2.8,Gaming,6,6.4,10.0
116,19,Other,8.3,5.7,58,9,1.6,3,1,3,0.1,21,9,1.7,0.8,1.2,Other,10,6.5,10.0
117,18,Other,3.6,3.1,56,0,2.4,5,9,4,0.9,80,16,3.2,0.3,1.5,Social Media,7,7.3,10.0
118,17,Male,5.4,3.1,88,0,0.0,7,10,10,0.7,29,11,2.9,0.3,0.5,Social Media,3,1.7,9.8
119,19,Other,2.1,7.3,71,7,0.5,4,1,4,1.7,54,9,2.5,1.5,1.6,Education,5,2.1,5.3
120,16,Male,7.8,7.4,81,0,1.9,5,6,10,1.1,135,14,3.6,1.1,1.3,Browsing,6,4.5,10.0
121,14,Male,4.3,3.9,64,2,2.9,10,10,6,0.6,119,9,1.1,1.4,1.8,Other,4,6.7,9.0
122,18,Other,7.4,7.4,80,0,1.1,1,2,3,1.9,57,20,1.9,0.9,1.6,Gaming,10,4.6,10.0
123,18,Female,6.4,7.9,72,4,2.0,5,6,4,0.7,23,13,0.7,2.4,0.7,Other,3,7.4,8.6
124,13,Other,2.0,8.4,78,10,1.6,5,1,10,0.4,140,17,2.0,0.8,2.4,Gaming,1,5.1,6.8
125,15,Male,2.6,6.8,65,0,1.3,6,5,2,1.0,26,6,1.8,2.8,1.1,Other,6,9.5,5.5
126,13,Other,4.4,5.0,68,7,3.7,2,4,8,1.8,70,18,2.4,1.1,0.7,Browsing,2,5.1,10.0
127,16,Other,4.8,6.5,57,7,0.7,9,10,8,0.8,68,16,0.5,3.7,0.0,Education,3,7.9,10.0
128,15,Other,7.7,5.9,75,2,2.2,2,8,10,1.0,74,16,2.4,2.9,0.9,Browsing,2,4.2,10.0
129,17,Other,4.2,5.6,88,10,0.5,9,6,2,1.1,58,19,3.3,0.4,0.2,Gaming,5,7.1,10.0
130,17,Other,4.6,5.7,98,4,0.6,8,5,1,1.1,46,18,2.2,2.5,1.7,Browsing,3,7.4,10.0
131,19,Male,2.9,6.5,94,5,0.0,8,7,5,1.3,126,15,3.3,1.1,0.0,Gaming,4,3.4,9.6
132,14,Female,6.8,5.5,55,1,0.6,9,10,10,1.1,129,10,3.2,2.6,0.7,Browsing,8,4.9,10.0
133,18,Male,4.7,5.9,61,10,0.1,10,4,2,2.0,95,12,3.3,2.4,0.6,Social Media,3,5.1,10.0
134,19,Female,4.1,7.6,85,6,0.1,3,3,3,0.8,25,20,3.0,0.2,1.5,Other,3,7.7,8.0
135,14,Female,0.0,6.0,75,0,0.8,5,7,4,1.2,111,7,3.0,1.6,0.0,Education,1,3.6,5.2
136,15,Female,4.3,9.3,61,2,0.0,7,8,4,0.3,31,5,2.6,2.6,0.8,Other,5,6.4,6.5
137,13,Male,3.3,8.0,60,7,0.4,6,6,2,1.6,70,20,3.0,1.5,0.8,Education,9,4.9,9.2
138,14,Female,8.0,5.8,79,7,1.1,1,1,4,0.7,130,17,1.8,2.4,1.4,Browsing,4,4.5,10.0
139,17,Other,5.0,5.1,90,3,1.0,6,8,9,0.7,68,18,2.6,2.4,1.3,Browsing,9,8.3,10.0
140,18,Other,2.5,4.8,51,10,1.3,6,10,1,0.5,83,6,2.0,0.0,3.0,Gaming,5,4.5,5.0
141,14,Female,4.8,4.0,81,0,1.6,9,5,4,1.4,124,18,2.8,2.2,1.4,Browsing,6,4.7,10.0
142,18,Other,5.0,5.5,71,6,0.4,7,3,10,1.0,92,14,1.5,0.6,1.5,Browsing,7,9.0,9.0
143,16,Female,7.1,3.0,56,6,0.0,1,4,1,1.4,116,18,2.2,2.3,2.1,Other,5,4.1,10.0
144,18,Female,7.9,6.5,55,4,0.0,8,9,5,2.0,97,11,1.8,0.8,0.3,Gaming,9,2.4,10.0
145,14,Male,7.4,6.4,81,9,0.4,4,10,4,1.4,116,6,1.2,0.0,1.0,Social Media,5,3.9,8.9
146,15,Female,2.5,5.4,66,0,0.6,9,8,4,0.6,85,14,1.9,1.2,1.7,Social Media,9,5.0,7.4
147,19,Male,6.4,7.8,62,3,0.0,6,3,7,0.6,41,11,2.6,3.6,2.2,Other,5,9.4,10.0
148,16,Other,7.0,7.9,89,1,0.7,3,10,8,1.0,56,11,2.4,0.8,0.0,Other,9,3.2,9.6
149,13,Female,5.1,4.3,63,9,1.3,4,8,6,0.0,49,6,3.0,0.8,2.2,Browsing,1,7.9,8.9
150,14,Male,6.9,7.1,98,8,0.2,8,4,8,1.2,54,7,1.3,0.8,0.3,Gaming,10,6.9,7.9
151,13,Female,4.0,6.2,59,7,0.2,10,10,1,0.7,114,13,2.7,2.5,0.8,Social Media,5,6.9,10.0
152,16,Male,6.6,9.4,82,3,1.1,7,4,7,0.3,83,20,0.7,1.8,0.5,Gaming,5,3.5,10.0
153,18,Male,5.7,6.2,77,3,1.6,4,1,8,2.0,115,12,2.3,1.0,1.9,Education,3,6.2,10.0
154,13,Other,2.9,5.8,67,9,0.0,7,3,1,1.1,86,13,2.6,1.7,0.9,Education,8,7.0,8.6
155,17,Female,4.8,4.1,63,9,1.2,9,7,7,0.3,91,20,1.9,1.6,1.4,Gaming,4,8.0,10.0
156,16,Female,7.3,6.3,77,6,0.5,3,5,6,0.7,138,6,2.8,1.7,2.4,Browsing,4,8.6,10.0
157,13,Female,4.9,5.6,98,8,0.4,4,2,3,0.5,121,10,4.1,0.7,1.3,Other,1,6.3,10.0
158,19,Male,6.7,5.9,79,7,0.0,2,9,7,0.2,130,17,2.2,2.1,0.2,Browsing,5,3.1,10.0
159,19,Other,2.2,8.2,60,5,2.0,10,7,3,0.5,70,10,3.4,1.1,2.3,Gaming,2,9.7,6.0
160,13,Male,3.3,7.6,55,0,0.0,4,2,6,1.2,47,15,2.8,0.0,0.6,Browsing,1,7.2,6.2
161,14,Other,6.8,4.8,76,6,2.2,2,8,5,0.9,142,12,4.0,0.0,1.6,Other,5,7.9,10.0
162,18,Other,5.2,6.6,93,4,0.0,8,10,4,1.1,36,18,2.5,1.9,1.6,Education,10,7.5,10.0
163,19,Male,6.0,3.1,78,1,1.0,4,4,2,0.6,130,6,2.7,1.8,1.6,Browsing,3,10.0,10.0
164,15,Other,5.9,5.0,74,1,1.0,9,8,3,0.8,94,6,4.6,2.7,1.2,Gaming,2,4.0,10.0
165,19,Female,3.7,4.6,72,0,0.6,4,10,7,1.2,146,18,2.0,2.2,1.8,Gaming,10,4.6,10.0
166,17,Male,8.4,7.7,57,3,1.4,6,8,5,0.5,49,14,1.3,1.5,1.4,Education,10,4.6,10.0
167,15,Other,0.8,7.4,70,7,1.7,9,1,1,0.8,67,10,2.9,0.9,1.2,Browsing,6,8.9,4.2
168,18,Other,7.2,3.0,84,4,1.8,3,8,5,0.9,83,8,2.9,2.6,1.6,Education,4,6.4,10.0
169,13,Male,4.6,5.3,91,4,0.9,10,3,6,0.8,129,6,1.6,2.2,0.8,Social Media,6,3.4,9.5
170,19,Male,2.4,6.8,63,8,0.0,9,8,7,0.8,50,16,2.0,1.3,0.9,Other,1,8.0,6.5
171,16,Female,4.3,6.6,94,9,1.0,2,10,4,0.8,47,17,1.6,1.4,0.0,Social Media,5,0.7,8.3
172,14,Other,6.8,6.1,92,8,2.0,9,1,5,1.0,46,6,2.1,1.7,1.7,Other,5,2.9,9.7
173,13,Other,6.3,5.4,100,8,2.0,5,5,3,1.8,30,12,1.6,1.4,1.8,Browsing,5,5.5,9.6
174,13,Female,5.3,9.7,52,5,1.0,3,3,8,1.7,145,9,2.3,1.3,0.0,Education,6,7.3,8.8
175,17,Other,4.4,5.7,99,2,1.2,1,4,10,0.9,58,9,2.5,1.0,0.6,Other,2,4.3,8.0
176,16,Other,8.1,6.7,50,0,2.0,4,7,7,0.5,63,7,2.1,0.0,1.8,Other,7,7.2,9.5
177,13,Other,3.6,6.0,65,9,0.4,5,2,6,1.6,83,11,1.1,2.2,0.8,Education,4,4.5,7.8
178,17,Other,5.0,5.5,66,5,0.8,2,10,10,1.4,129,17,2.7,1.6,1.2,Social Media,1,7.1,10.0
179,17,Other,4.1,7.2,57,10,0.9,3,10,1,1.4,145,10,1.5,1.7,0.7,Gaming,7,6.7,8.6
180,19,Other,4.3,9.2,53,8,0.5,10,3,10,1.6,47,14,2.7,1.2,0.0,Social Media,2,5.6,7.3
181,18,Male,4.2,7.6,58,1,1.2,4,2,7,1.1,59,15,2.7,1.1,0.8,Education,9,4.3,8.4
182,18,Male,6.4,4.4,60,5,0.5,7,1,3,0.6,42,10,2.4,1.2,0.4,Browsing,5,5.9,10.0
183,16,Female,3.3,7.2,74,4,1.3,2,7,4,1.0,111,6,2.7,1.8,1.6,Other,6,4.3,7.6
184,19,Female,5.7,8.0,96,1,0.9,3,4,2,1.5,65,20,3.3,2.7,1.9,Gaming,3,7.8,10.0
185,16,Other,5.7,6.2,97,4,1.4,7,2,4,0.8,134,14,2.3,1.5,0.0,Social Media,5,5.2,10.0
186,13,Other,1.8,4.1,98,2,1.3,9,6,9,0.5,49,6,2.6,1.9,0.8,Other,5,7.8,6.4
187,17,Female,0.2,5.4,60,5,1.5,6,3,2,2.4,102,17,1.7,1.2,0.1,Gaming,10,6.6,5.8
188,16,Female,2.7,6.9,55,9,0.7,6,8,6,2.1,139,13,1.6,2.9,0.9,Education,8,7.6,9.1
189,17,Male,4.3,6.7,93,6,0.4,7,9,6,0.8,33,13,2.5,0.0,1.8,Social Media,8,4.0,6.7
190,16,Other,4.5,6.5,85,6,0.8,10,8,10,0.5,22,18,4.3,2.0,1.0,Education,8,5.7,10.0
191,18,Male,4.6,5.6,91,6,1.6,3,7,9,0.7,128,14,2.9,0.9,1.6,Social Media,3,3.0,10.0
192,16,Other,7.5,5.9,84,6,1.5,7,9,6,1.6,76,13,2.1,2.1,0.8,Browsing,8,11.5,10.0
193,16,Other,5.3,6.1,98,2,1.7,9,4,2,1.1,51,7,3.2,0.0,0.9,Other,1,6.1,7.9
194,15,Other,4.9,4.8,73,3,1.8,5,3,2,1.1,105,14,1.0,0.0,1.0,Education,8,4.2,8.4
195,15,Male,5.4,6.9,57,10,0.6,9,3,9,1.2,45,5,0.2,1.2,1.2,Education,3,5.9,5.3
196,14,Other,0.5,6.2,57,7,1.0,6,6,1,0.9,73,7,4.0,2.3,1.2,Education,8,5.7,6.6
197,17,Other,7.6,6.0,100,3,1.4,4,4,6,1.0,105,9,3.9,0.3,1.3,Gaming,8,9.4,10.0
198,19,Male,7.6,3.0,69,10,0.4,5,7,8,0.5,66,7,2.1,3.1,2.0,Social Media,5,5.8,10.0
199,19,Female,2.5,5.6,87,9,0.7,8,5,3,1.6,90,12,3.4,1.4,1.2,Browsing,2,6.9,8.7
200,19,Female,5.5,6.4,93,10,0.3,8,10,7,1.5,57,9,3.0,0.8,0.3,Education,4,9.9,9.0
201,16,Female,2.7,4.6,51,6,0.6,4,7,8,1.3,100,12,3.8,1.0,2.6,Education,6,4.3,9.6
202,19,Male,7.0,5.4,96,0,0.5,5,9,9,1.2,100,18,2.8,1.8,0.4,Other,9,3.4,10.0
203,16,Female,5.3,5.0,83,0,1.0,7,3,7,1.0,22,10,2.6,2.7,1.7,Education,9,1.7,10.0
204,15,Female,4.7,5.3,94,1,1.5,9,6,4,0.5,104,12,2.5,1.9,0.9,Social Media,4,4.5,10.0
205,19,Other,5.4,4.9,68,10,1.2,1,2,6,0.6,127,12,3.4,1.1,2.4,Other,3,3.3,10.0
206,17,Other,8.5,5.2,63,6,1.0,9,10,9,1.1,59,17,2.3,2.7,3.0,Social Media,9,9.0,10.0
207,17,Other,6.2,4.4,56,4,0.9,1,5,6,1.5,46,14,2.2,1.2,0.0,Browsing,5,2.9,10.0
208,16,Female,2.7,5.1,82,9,0.4,3,5,6,0.5,67,17,3.5,0.9,1.0,Education,2,1.8,9.3
209,17,Male,3.5,5.1,77,6,1.7,1,1,2,1.2,91,9,2.0,0.9,1.1,Other,2,7.7,7.5
210,18,Female,3.5,7.2,94,0,0.5,1,6,7,2.0,84,11,2.7,2.9,0.8,Gaming,10,5.2,9.4
211,14,Male,6.6,5.0,84,4,1.0,2,6,8,0.4,63,16,1.7,0.0,1.1,Gaming,5,6.7,10.0
212,16,Other,6.1,7.5,71,10,0.6,7,10,4,1.5,39,20,1.8,1.9,2.6,Education,9,5.8,10.0
213,17,Other,3.3,5.6,59,6,0.6,7,4,10,1.2,140,5,2.6,1.7,0.2,Education,9,1.8,8.6
214,13,Male,6.3,7.2,81,7,0.0,3,4,3,1.9,77,15,2.5,0.4,1.8,Social Media,7,5.0,10.0
